,MFCC_Mean_Avg,MFCC_Mean_Std,MFCC_Mean_Min,MFCC_Mean_Max,MFCC_Std_Avg,MFCC_Std_Std
Bowhead Whale,"[-297.31506833  185.7353911   -75.24179589   42.16937559    9.8121579
  -14.68529761   25.44170974  -14.88449961    5.87370279    8.55981155
  -15.44527433    9.10953159   -3.83968339]","[62.75057123 19.2964457  29.1762307   7.59333466  8.46910438  6.80834196
 10.17149507  8.47875609  7.57046241  6.45100502  5.79830086  6.93170572
  3.62251347]","[-389.80090332  145.0493927  -123.06117249   29.923666     -6.13615084
  -27.65365028    9.10281372  -31.40100479   -9.94712162   -7.58620024
  -26.79858589   -8.85919189   -9.45814323]","[-158.66581726  215.00230408  -23.00755882   59.87408447   29.08027267
   -1.96535099   54.77930832   -0.80055529   19.34757233   21.54736328
   -3.74289131   23.36517143    7.81181288]","[29.52986969 17.51114802 18.83800749 10.75619318  9.91722591  9.67454644
  8.75641912  9.46950463  8.44534029  8.50180394  8.54247202  7.62781361
  7.012255  ]","[12.67513501  7.97393734  7.07837639  3.62089193  3.78918604  3.22218598
  1.98086986  2.86956026  2.32235382  2.44538982  2.57959953  2.35722154
  1.77589865]"
Fin Whale,"[-661.13268127   68.64117737   59.76161804   55.84706783   51.22003708
   45.9429821    40.11115742   33.96982613   27.70297527   21.56100941
   15.72116385   10.38438649    5.68798562]","[60.56676698  7.06542202  8.31421472  7.85171412  7.02164828  5.90832953
  4.64545794  3.33226705  2.16613586  1.52979265  1.84020279  2.55241131
  3.2020426 ]","[-750.32781982   54.21293259   49.41905212   46.72171021   43.51270294
   39.79434967   35.591259     30.54515266   25.36986542   19.42266464
   10.95884228    3.55302715   -2.55423856]","[-555.95556641   80.6756897    77.3394165    72.26637268   65.52080536
   57.4559021    48.46840668   40.75468063   32.82324219   25.615839
   19.07551193   13.16307735    9.37537193]","[29.42722893 13.76651238  6.43467424  6.39364817  6.77671775  6.54220566
  6.11281986  5.38564148  4.57468883  3.68138007  2.86408988  2.18057737
  1.78878459]","[15.27131855  6.93328596  2.67243139  2.70142116  2.98407838  2.94533305
  2.74467633  2.36809295  1.91018644  1.35392292  0.81513751  0.35951049
  0.13543901]"
Humpback Whale,"[-357.89998398  159.91855431   -9.409341     26.10779991    4.71966504
   19.34878921    4.37921361    8.74351325    6.75842943    0.87019303
    4.99137528   -3.02066588    4.36663636]","[60.7975364  28.91822435 26.41918593 19.2733842  15.95126058  7.51026935
  6.09379617  5.76223325  4.50591564  3.58415809  3.90954341  4.92980769
  5.8063392 ]","[-468.47354126   84.54958344  -67.27281189    8.45765018  -28.36500931
   -0.5006997    -2.91973186   -1.7177031    -2.65816855   -5.2550683
   -2.34800935  -13.97977543   -9.34330559]","[-218.76403809  206.87792969   15.37544918   71.42243195   41.20781708
   30.54077721   20.78596306   20.55291557   14.11464787    7.64032316
   15.28573227    6.38882971   17.82223892]","[38.71525862 21.70838363 20.57908859 11.94937732 10.07565374  9.72249129
  9.11068654  8.26007125  8.41028295  8.71879699  8.18582222  7.93437018
  7.24679208]","[12.98909941  8.07358648  6.72160827  3.54558091  2.42707484  3.39527871
  3.21534812  2.26380738  2.65207024  3.47787126  2.77549837  2.48539061
  2.03780935]"
